时间,压力(N),传感器#8,传感器#9,传感器#10,传感器#24,传感器#25,传感器#26,传感器#232,传感器#233,传感器#234,传感器#248,传感器#249,传感器#250
08h.46m.06s.273ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.283ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.293ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.303ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.313ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.323ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.333ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.343ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.354ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.363ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.373ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.384ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.393ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.403ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.414ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.423ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.433ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.443ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.454ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.463ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.473ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.483ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.493ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.503ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.513ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.523ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.533ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.543ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.553ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.563ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.574ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.583ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.595ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.604ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.613ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.623ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.633ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.643ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.653ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.663ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.673ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.683ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.693ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.704ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.713ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.723ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.733ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.743ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.753ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.763ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.774ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.783ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.793ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.803ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.813ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.823ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.833ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.06s.843ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
