时间,压力(N),传感器#8,传感器#9,传感器#10,传感器#24,传感器#25,传感器#26,传感器#232,传感器#233,传感器#234,传感器#248,传感器#249,传感器#250
08h.46m.29s.392ms,0,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.29s.402ms,0,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.29s.412ms,0,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.29s.422ms,0,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.29s.432ms,0,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.29s.442ms,0,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.29s.452ms,0,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.29s.463ms,0,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.29s.472ms,0,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.29s.482ms,0,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.29s.493ms,0,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.29s.502ms,0,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.29s.512ms,0,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.29s.522ms,0,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.29s.532ms,0,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.29s.542ms,0,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.29s.552ms,0,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.29s.562ms,0,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.29s.573ms,0,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.29s.582ms,0,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.29s.592ms,0,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.29s.602ms,0,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.29s.612ms,0,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.29s.622ms,0,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.29s.633ms,0,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.29s.642ms,0,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.29s.652ms,0,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.29s.662ms,0,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.29s.672ms,0,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.29s.682ms,0,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.29s.692ms,0,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.29s.703ms,0,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.29s.712ms,0,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.29s.722ms,0,0,0,0,0,0,0,0,0,0,0,0,0
