时间,压力(N),传感器#8,传感器#9,传感器#10,传感器#24,传感器#25,传感器#26,传感器#232,传感器#233,传感器#234,传感器#248,传感器#249,传感器#250
08h.46m.17s.224ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.234ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.245ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.254ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.264ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.274ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.284ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.295ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.305ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.314ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.325ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.335ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.344ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.354ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.365ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.375ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.384ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.394ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.404ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.414ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.424ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.434ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.445ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.454ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.464ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.475ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.484ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.495ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.505ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.514ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.524ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.534ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.544ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.555ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.564ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.575ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.585ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.594ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.604ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.614ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.625ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.636ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.644ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.654ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.664ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.674ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.684ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
