1	1	0.87205	0.0056976	3233	0.99887	1
2	1	0.77865	0.01081	3023	0.9955	2
3	1	0.81357	0.009791	2851	0.99853	3
4	1	0.83434	0.0077027	3058	0.99591	4
5	1	0.81509	0.008602	3094	0.99835	5
6	1	0.79754	0.0097632	3018	0.99832	6
1	2	0.83375	0.0074864	3123	0.99537	7
2	2	0.83122	0.0081991	3074	0.99669	8
3	2	0.79653	0.010746	2803	0.99801	9
4	2	0.86639	0.0063315	3065	0.99911	10
5	2	0.88435	0.0053144	3204	0.99923	11
6	2	0.86401	0.0062658	3204	0.99959	12
1	3	0	0	0	0	13
2	3	0.84173	0.0077404	3070	0.9954	14
3	3	0.83079	0.0082708	2897	0.99652	15
4	3	0.88634	0.0054425	3121	0.99533	16
5	3	0.82028	0.0082279	3088	0.99634	17
6	3	0.8615	0.0066242	3073	0.99971	18
1	4	0.86022	0.0064961	3176	0.99795	19
2	4	0.84415	0.0073075	3136	0.99782	20
3	4	0.78011	0.011552	2833	0.99435	21
4	4	0.86836	0.0062979	3109	0.99832	22
5	4	0.88216	0.0053963	3147	0.99826	23
6	4	0.85142	0.0070501	3059	0.99877	24
1	5	0	0	0	0	25
2	5	0.84887	0.0074067	2983	0.99603	26
3	5	0.80188	0.0099165	2925	0.9992	27
4	5	0.87844	0.0058875	3025	0.9993	28
5	5	0.83802	0.0076713	3092	0.99772	29
6	5	0.82676	0.0079294	3173	0.99918	30
1	6	0.86652	0.0063615	3069	0.99928	31
2	6	0.87682	0.005792	3039	0.99631	32
3	6	0.87571	0.0062309	2943	0.99918	33
4	6	0.86854	0.0062662	3092	0.99953	34
5	6	0.8531	0.0068424	3146	0.99942	35
6	6	0.81734	0.0089156	2989	0.99928	36
1	7	0.8303	0.0079543	3029	0.99572	37
2	7	0.83255	0.0084782	2973	0.9961	38
3	7	0.83544	0.0081783	3004	0.99682	39
4	7	0.82508	0.0085622	2999	0.99495	40
5	7	0.81632	0.0091197	2950	0.99311	41
6	7	0.84348	0.0073019	3130	0.99944	42
1	8	0.84037	0.0077672	3037	0.99858	43
2	8	0.81287	0.0096685	2898	0.9971	44
3	8	0.81537	0.008381	3068	0.98799	45
4	8	0.80738	0.009167	3061	0.99866	46
5	8	0.85531	0.0072176	2964	0.99913	47
6	8	0.81547	0.0088026	3052	0.9995	48
